report_title,report_quarter,report_date,article_url,pdf_url,pdf_path,pdf_sha256,quarter,price_sentiment_index,price_expectation_index,income_sentiment_index,income_confidence_index,employment_sentiment_index,employment_expectation_index,price_up_share,price_same_share,price_down_share,price_uncertain_share
2019年第三季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550091819/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550091819/2019092310593474518.pdf,data\raw\pboc_depositor_survey\pdfs\2019年第三季度城镇储户问卷调查报告.pdf,94bd06cb97f65d80ca2677530b92dfa283bc44b35c0caf2c6bd1a413a5ab616d,2019Q1,,60.4,54.8,54,45.8,53.7,54.1,19.4,53.4,9.8
2019年第四季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550384632/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550384632/2019122315453143868.pdf,data\raw\pboc_depositor_survey\pdfs\2019年第四季度城镇储户问卷调查报告.pdf,f115feb073fbe929310d235769b066609be1802c71ee2f3ac542e8704cbc9b95,2019Q2,,62,53,52.6,44.2,52.3,52.6,53.1,9.2,10.3
2020年第一季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550672513/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550672513/2020042809145165127.pdf,data\raw\pboc_depositor_survey\pdfs\2020年第一季度城镇储户问卷调查报告.pdf,7bffd7f6706da1bf6be94861eb5154a308574fa024a1005eba96f1c217bc4f07,2019Q3,,65.4,54.1,53.4,45.4,52.6,10.7,44.5,10.4,13.1
2020年第二季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550741232/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550741232/2020070214330379437.pdf,data\raw\pboc_depositor_survey\pdfs\2020年第二季度城镇储户问卷调查报告.pdf,b8e2d35ee4a2de86dbb968f73f0ef610bbc90cd7bafc60154450c789498fa811,2019Q4,,64.4,52.6,53.1,44.5,51.9,46.1,13.8,21.7,47.9
2020年第三季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550957473/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550957473/2020092914354089442.pdf,data\raw\pboc_depositor_survey\pdfs\2020年第三季度城镇储户问卷调查报告.pdf,f27d7b5bc38310591f021df7e11024205566339115749f8402329f68a05b3c8f,2020Q1,,63.2,41.6,45.9,37.7,47.3,49.3,15.8,17.1,49.2
2020年第四季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212551295746/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212551295746/2021011917160627490.pdf,data\raw\pboc_depositor_survey\pdfs\2020年第四季度城镇储户问卷调查报告.pdf,55d6c7bda2f8911bd7f3094366096492a131fd6e62b1a908ec7ed25410b8412b,2020Q2,,58.3,46.1,47.9,37.5,50.1,50.6,15.3,14,51.2
2021年第一季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212551418933/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212551418933/2021032511483074121.pdf,data\raw\pboc_depositor_survey\pdfs\2021年第一季度城镇储户问卷调查报告.pdf,02d9cdff633d8326fa09a57f2efc1de25b4969ae45e0500ab6b6299d4004c28e,2020Q3,,62.2,49.3,49.2,39.7,50.4,16.4,53.7,10.1,11.9
2021年第二季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212551647544/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212551647544/2021070514353693786.pdf,data\raw\pboc_depositor_survey\pdfs\2021年第二季度城镇储户问卷调查报告.pdf,b7fd8e9f42c56d75c6e7da2ead7cdf1709b852cd5ec8df775cf2445cecc60c25,2020Q4,,61.6,50.6,51.2,41.4,51.2,14.9,55.5,8.1,12.2
2021年第三季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212551869016/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212551869016/2021100814471932226.pdf,data\raw\pboc_depositor_survey\pdfs\2021年第三季度城镇储户问卷调查报告.pdf,66c5b0f87b5f20011a6796d4d5d8fd052531fbdc43a0b6350e4fc4179814c880,2021Q1,,58.4,51.7,51,43.9,53.1,13.8,57.3,8,11.7
2021年第四季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212552247339/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212552247339/2021123016430581471.pdf,data\raw\pboc_depositor_survey\pdfs\2021年第四季度城镇储户问卷调查报告.pdf,6d32ec38a8684cb461f5567fd097cf2b608d9c91c76ef97c8b5874d862ded2a0,2021Q2,,59.5,51.2,51,44,52.2,13.6,50.1,7.4,11.3
2022年第一季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212552413140/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212552413140/2022033014390154481.pdf,data\raw\pboc_depositor_survey\pdfs\2022年第一季度城镇储户问卷调查报告.pdf,8f4311135d13e87b71baf0fce0353f2cca915940d1dbcb2770f65b5cf53749ec,2021Q3,,58.7,49.7,49.5,40.8,49.4,14.5,56.3,8.4,12.7
2022年第二季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212552695811/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212552695811/2022062911164315907.pdf,data\raw\pboc_depositor_survey\pdfs\2022年第二季度城镇储户问卷调查报告.pdf,70d41788d4b7c747e16b614289c52dfadb4516cef0be5f307b76166cafcc5cee,2021Q4,,63.8,49.9,50,41.4,49.3,10.8,50.8,9.4,13.2
2022年第三季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212552715070/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212552715070/2022100916173857426.pdf,data\raw\pboc_depositor_survey\pdfs\2022年第三季度城镇储户问卷调查报告.pdf,482dd5f5bbe8e11f3e4a98b41806f9867f79d88820ec3cbde73fbda313d38b8a,2022Q1,,58.7,50.2,50,42.4,50.5,47,35.4,8.6,11.2
2022年第四季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212552979562/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212552979562/2022122715272755984.pdf,data\raw\pboc_depositor_survey\pdfs\2022年第四季度城镇储户问卷调查报告.pdf,920fe25e5b62b79def2540fd12b5753cfe85bdc5f976362271c40bc8b132f5e8,2022Q2,,60.4,44.5,45.7,35.6,44.5,10.8,48.1,8.7,13.8
2023年第一季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212553174205/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212553174205/2023040316305337871.pdf,data\raw\pboc_depositor_survey\pdfs\2023年第一季度城镇储户问卷调查报告.pdf,a4bec8409088bb76638d81f23b94c8870a28afd429aa160f0ea9d08f24e80f18,2022Q3,,61,47,46.5,35.4,45.3,15.9,54.2,9.5,13.1
2023年第二季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212553257464/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212553257464/2023062915251589195.pdf,data\raw\pboc_depositor_survey\pdfs\2023年第二季度城镇储户问卷调查报告.pdf,67c77661d2325eb63008706b208bb9858c7502860562464a51cc45d1be346d3d,2022Q4,,62.8,43.8,44.4,33.1,43,14.4,54.8,9.7,13.4
