date,Food_CPI_MoM_index,Food_CPI_level,Food_CPI_YoY
2019-12-01,99.6,228.9637053798919,17.396057678237508
2020-01-01,104.4,239.03810841660714,20.631382102440888
2020-02-01,104.3,249.31674707852122,21.917181717873866
2020-03-01,96.2,239.84271068953743,18.349474079308447
2020-04-01,97.0,232.64742936885128,14.91390376068984
2020-05-01,96.5,224.5047693409415,10.670575977111474
2020-06-01,100.2,224.95377887962337,11.225593910798093
2020-07-01,102.8,231.25248468825282,13.320030267889415
2020-08-01,101.4,234.49001947388837,11.343518112054163
2020-09-01,100.4,235.42797955178392,8.008591482610994
2020-10-01,98.2,231.1902759198518,2.3788000346756766
2020-11-01,97.6,225.64170929777538,-1.8450797309985667
2020-12-01,102.8,231.95967715811312,1.30849200455172
2021-01-01,104.1,241.47002392159575,1.0173756482168006
2021-02-01,101.6,245.3335443043413,-1.5976474989565892
2021-03-01,96.4,236.50153670938505,-1.393068803528219
2021-04-01,97.6,230.82549982835982,-0.7831290229314614
2021-05-01,98.3,226.9014663312777,1.0675483631692906
2021-06-01,97.8,221.9096340719896,-1.353231238343744
2021-07-01,99.6,221.02199553570162,-4.423947775671566
2021-08-01,100.8,222.79017149998722,-4.989486546229738
2021-09-01,99.3,221.23064029948733,-6.030438386858683
2021-10-01,101.7,224.99156118457867,-2.6812177590990416
2021-11-01,102.4,230.39135865300855,2.1049518593059258
2021-12-01,99.4,229.0090105010905,-1.2720601671691978
2022-01-01,101.4,232.21513664810578,-3.8327271945336694
2022-02-01,101.4,235.46614856117927,-4.0220328496625495
2022-03-01,98.8,232.6405547784451,-1.6325398915628786
2022-04-01,100.9,234.73431977145114,1.6934090670215785
2022-05-01,98.7,231.68277361442227,2.1072174457276605
2022-06-01,98.4,227.97584923659153,2.733642092633981
2022-07-01,103.0,234.81512471368927,6.240613810655615
2022-08-01,100.5,235.98920033725773,5.924421507647737
2022-09-01,101.9,240.47299514366566,8.697870610567016
2022-10-01,100.1,240.7134681388093,6.987776284343705
2022-11-01,99.2,238.78776039369885,3.6444082754579776
2022-12-01,100.5,239.98169919566732,4.791378588365447
2023-01-01,102.8,246.70118677314602,6.238202355857658
2023-02-01,98.0,241.7671630376831,2.675974663452174
2023-03-01,98.6,238.38242275515555,2.4681285608946
2023-04-01,99.0,235.99859852760397,0.5385998763980382
2023-05-01,99.3,234.34660833791074,1.1497767753427146
2023-06-01,99.5,233.1748752962212,2.2805161498638205
2023-07-01,99.0,230.843126543259,-1.6915427297425345
2023-08-01,100.5,231.99734217597526,-1.6915427297425456
2023-09-01,100.3,232.69333420250314,-3.2351495171067834
2023-10-01,99.2,230.8317875288831,-4.10516315781212
2023-11-01,99.1,228.75430144112318,-4.2018313401127045
2023-12-01,100.9,230.8130901540933,-3.820545096690253
2024-01-01,100.4,231.73634251470963,-6.065979841514624
2024-02-01,103.3,239.38364181769504,-0.9858746696781773
2024-03-01,96.8,231.7233652795288,-2.7934347669862913
2024-04-01,99.0,229.4061316267335,-2.7934347669862913
2024-05-01,100.0,229.4061316267335,-2.1081921117686586
2024-06-01,99.4,228.02969483697316,-2.2065758382894707
2024-07-01,101.2,230.76605117501683,-0.033388634695918906
2024-08-01,103.4,238.6120969149674,2.851220051467096
2024-09-01,100.8,240.52099369028716,3.3639379978852135
2024-10-01,98.8,237.63474176600369,2.947147925313076
2024-11-01,97.3,231.21860373832158,1.077270364611116
2024-12-01,99.4,229.83129211589167,-0.4253649728211517
2025-01-01,101.3,232.81909891339825,0.46723633718344093
2025-02-01,99.5,231.65500341883126,-3.2285574486955126
2025-03-01,98.6,228.41183337096763,-1.429088475634066
2025-04-01,100.2,228.86865703770957,-0.23428954806598012
2025-05-01,99.8,228.41091972363415,-0.4338209689698558
2025-06-01,99.6,227.4972760447396,-0.23348660472233274
2025-07-01,99.8,227.04228149265015,-1.6136557623645076
2025-08-01,100.5,228.17749290011338,-4.3730406587778825
2025-09-01,100.7,229.7747353504142,-4.467908673997345
2025-10-01,100.3,230.46405955646546,-3.0175226720843384
2025-11-01,100.5,231.61637985424775,0.17203465010815489
