report_title,quarter,price_sentiment_index,infl_exp_index,income_sentiment_index,income_confidence_index,employment_sentiment_index,employment_expectation_index,price_up_share,price_same_share,price_down_share,price_uncertain_share,infl_exp_index_alt,epu_qavg,gpr_qavg,CPI_YoY,Consumer_Confidence_Index,Ind_Value_Added_YoY,M2_YoY,PPI_YoY,Real_Estate_Climate_Index,CPI_MoM_Idx,CPI_MoM,CPI_Level,CPI_YoY.1,PPI_MoM_Idx,PPI_MoM,PPI_Level,PPI_YoY_Rate,CPI_QoQ_Ann,CPI_YoY_from_Level,GDP_level,GDP_yoy_pct,Food_CPI_YoY_qavg,mu_cp,sigma_cp,effective_sample_share,delta_used,CPI_lead1,FE,FR
2017年第三季度城镇储户问卷调查报告,2017Q3,,61.5,52.6,52.9,41.8,51.1,52.8,86.6,53.3,11.5,61.5,199.77025816666665,118.95984141031902,100.3537329,51.833333333333336,6.333333333333333,9.1,106.23333333333332,101.42666666666666,100.3537329,0.3537329000000018,144.13878104061726,1.6019860127698478,106.23333333333332,6.233333333333334,1544.7871216856183,81.8751548689696,4.326303870367276,1.6320063580567146,216755.3,11.249271829088348,-0.8384056544069299,0.3624380346127527,-1.1909878323442702,0.885,0.3,1.8586555353582668,1.496217500745514,0.28614936638750943
2017年第四季度城镇储户问卷调查报告,2017Q4,,61.3,51.3,52.9,41.9,50.7,53.6,88.9,54.9,9.6,61.3,172.08519783333335,88.92528025309245,100.1536751,51.66666666666666,6.166666666666667,8.700000000000001,105.86666666666667,101.61333333333332,100.1536751,0.1536751000000009,144.80392366904513,1.8170528877950345,105.86666666666667,5.86666666666667,1832.768033086511,108.00302336813438,1.8586555353582668,1.8482177565372515,239687.6,11.163126994558436,-0.598313632914745,0.1756877202156532,-1.182604455679727,0.904,0.3,2.8913152029964806,2.7156274827808273,-0.1867503143970995
2018年第一季度城镇储户问卷调查报告,2018Q1,,61.2,52.8,53.3,42.6,50.8,55.4,89.2,54.2,26.4,61.2,222.93936206666663,89.62681833902995,100.24290102,51.03333333333333,2.0,8.533333333333333,103.71153333333332,101.60333333333334,100.24290102,0.2429010200000002,145.83944721036582,2.142836280739983,103.71153333333332,3.7115333333333305,2044.4348638356853,95.94644516708324,2.8913152029964806,2.0566545791032453,205735.3,11.043565651811573,2.052934755579535,0.23132881872231115,-0.45613785224353237,0.736,0.3,-1.7891967184555435,-2.0205255371778548,0.05564109850665794
2018年第二季度城镇储户问卷调查报告,2018Q2,,64.3,53.6,54.9,44.9,53.4,53.2,27.7,8.1,10.5,64.3,218.5425772,117.63289388020831,99.84968814,51.6,6.6000000000000005,8.200000000000001,104.06666666666666,101.54333333333334,99.84968814,-0.1503118600000021,145.18268545054437,1.758183580499521,104.06666666666666,4.066666666666667,2304.046439602256,80.52614527871981,-1.7891967184555435,1.796403764676402,228042.4,10.880186088485376,0.4142758631924555,0.2801521911864914,0.546073882137077,0.895,0.3,6.884641649708367,6.604489458521876,0.048823372464180226
2018年第三季度城镇储户问卷调查报告,2018Q3,,59.6,55.4,54.2,45.8,54.1,53.6,31.8,7.2,10.3,59.6,326.4120992333333,99.27467346191406,100.55652963333334,51.1,5.966666666666666,8.333333333333334,104.09999999999998,101.95,100.55652963333334,0.5565296333333359,147.61947338083982,2.2208527857922413,104.09999999999998,4.099999999999994,2599.1622922443207,73.04972765988356,6.884641649708367,2.4148201581097872,238796.8,10.168840162155202,1.9830998315994623,0.9847023627967071,0.5189098316884968,0.897,0.3,-0.5517818937254892,-1.5364842565221963,0.7045501716102157
2018年第四季度城镇储户问卷调查报告,2018Q4,,61.0,53.2,53.5,45.0,52.3,53.5,54.4,7.0,10.0,61.0,343.3584498333333,87.67724355061848,99.95414706666668,49.86666666666667,5.666666666666667,8.033333333333333,102.3,101.90333333333332,99.95414706666668,-0.0458529333333312,147.41541628139194,2.13554657938931,102.3,2.300000000000002,2782.244734331802,57.405623029219775,-0.5517818937254892,1.803468128609187,263435.6,9.907896778973946,2.867086023366309,0.37554682771535774,0.5079639438842043,0.9,0.3,4.58126533796106,4.205718510245703,-0.6091555350813493
2019年第一季度城镇储户问卷调查报告,2019Q1,,63.7,53.6,52.7,44.2,51.6,54.8,89.7,54.0,10.5,63.7,313.07865904254464,88.8508529663086,100.37556236666668,49.73333333333333,2.833333333333333,8.333333333333334,100.2,100.675,100.37556236666668,0.375562366666666,149.07553485665724,1.777310517978507,100.2,0.1999999999999981,2798.9632540693806,41.046324095310446,4.58126533796106,2.218938502710821,221453.9,7.640205642881903,2.3984272758664846,0.3628125769986157,-1.096237255410928,0.895,0.3,0.0003887848131434,-0.36242379218547227,-0.012734250716742057
2019年第二季度城镇储户问卷调查报告,2019Q2,,64.3,53.5,54.4,45.5,53.3,53.0,29.2,7.6,10.4,64.3,444.5296000981016,97.43793487548828,100.00006424333333,49.63333333333333,5.566666666666666,8.5,100.5,100.88666666666666,100.00006424333333,6.424333333162242e-05,149.0756797522059,2.641400024371196,100.5,0.5,2841.098846896141,28.670018681761377,0.0003887848131434,2.6814453042939945,246193.9,7.959703984872979,7.49526383240633,0.4216778656519117,0.525439563266406,0.896,0.3,8.31407285527872,7.892394989626808,0.05886528865329599
2019年第三季度城镇储户问卷调查报告,2019Q3,,60.4,54.8,54.0,45.8,53.7,54.1,19.4,53.4,9.8,60.4,373.0943110528387,95.76455434163412,100.66795156666666,49.66666666666666,5.0,8.233333333333333,99.23333333333332,100.97333333333334,100.66795156666666,0.6679515666666637,152.08207169782733,2.88305084577832,99.23333333333332,-0.7666666666666657,2776.1959666011776,12.114745918188175,8.31407285527872,3.0230417537627785,256023.2,7.213832011149246,10.225524436536572,0.6555719716951618,-1.2358096649475585,0.902,0.3,5.0943476274536215,4.43877565575846,0.23389410604325012
2019年第四季度城镇储户问卷调查报告,2019Q4,,62.0,53.0,52.6,44.2,52.3,52.6,53.1,9.2,10.3,62.0,322.73189926467563,81.73166910807292,100.41560441,49.9,5.933333333333334,8.433333333333332,98.83333333333331,101.14333333333332,100.41560441,0.4156044100000002,153.98302943940456,4.232899933274803,98.83333333333331,-1.1666666666666667,2680.0642957221626,-1.415062975232802,5.0943476274536215,4.455173904930088,282201.4,7.12348672692682,17.404162518065856,0.840487195079164,0.5720911195361779,0.897,0.3,3.84189884254027,3.001411647461106,0.18491522338400224
