pid,province,urban_direct,age,income,edu_years,wave,hukou,price_exp,gender,price_exp_lag,revision,wave_lag,cpi_yoy,fe_proxy,edu_high,urban,income_tercile,income_below_median,attention_index,attention_tercile,meat_shock,grain_shock,egg_shock,headline_cpi_next,region,realized_cpi_ann,fe_clean
220169101,22,0,56,-8,9,2016,NA,1,1,1,0,2014,0.17282323749999767,-1,0,0,1,0,-0.31176396239221704,1,0.100684779496455,0.0518992862822328,-0.0765139656099587,0.0355493463104916,Northeast,3.55493463104916,1.5549346310491599
220169101,22,1,NA,-9,9,2018,3,-1,NA,1,-2,2016,0.1508164650000021,1,0,0,1,1,-0.31176396239221704,1,-0.100822006376818,0.0259650345622959,-0.0602724019357296,0.0544331033931943,Northeast,5.44331033931943,7.44331033931943
220169101,22,1,NA,12000,9,2020,3,1,NA,-1,2,2018,0.024241802500000513,-1,0,0,2,0,0.178132812361219,2,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,1.7444956808212102
220169102,22,1,NA,1200,6,2020,3,0,NA,-1,1,2018,0.024241802500000513,0,0,0,2,0,-0.02921178478480257,2,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,3.74449568082121
220170101,22,1,NA,-8,15,2022,3,-1,NA,1,-2,2020,0.14999999999999505,1,1,0,1,0,0.102925231899826,2,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220170103,22,1,NA,NA,16,2022,3,-1,NA,-1,0,2014,0.14999999999999505,1,1,0,NA,NA,NA,NA,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220171101,22,0,57,0,0,2014,1,0,1,-1,1,2012,0.06666666666666667,0,0,1,1,0,-0.7337977538302818,1,NA,0.114446806514444,0.100096200511414,0.0344516259200721,Northeast,3.44516259200721,3.44516259200721
220171101,22,1,NA,-8,0,2020,1,1,NA,0,1,2018,0.024241802500000513,-1,0,1,1,0,-0.7337977538302818,1,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,1.7444956808212102
220171101,22,1,NA,-8,0,2022,1,0,NA,1,-1,2020,0.14999999999999505,0,0,1,1,0,-0.7337977538302818,1,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220171102,22,0,58,0,9,2014,1,-1,0,-1,0,2012,0.06666666666666667,1,0,1,1,0,-0.11176396239221703,2,NA,0.114446806514444,0.100096200511414,0.0344516259200721,Northeast,3.44516259200721,5.44516259200721
220171102,22,1,NA,-8,9,2020,1,-1,NA,-1,0,2018,0.024241802500000513,1,0,1,1,0,-0.11176396239221703,2,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,5.74449568082121
220171102,22,1,NA,-8,9,2022,1,-1,NA,-1,0,2020,0.14999999999999505,1,0,1,1,0,-0.11176396239221703,2,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220171103,22,0,24,12000,9,2014,1,1,1,0,1,2012,0.06666666666666667,-1,0,1,3,0,0.868029587114655,3,NA,0.114446806514444,0.100096200511414,0.0344516259200721,Northeast,3.44516259200721,1.4451625920072102
220171103,22,0,26,-8,9,2016,NA,-1,1,1,-2,2014,0.17282323749999767,1,0,0,1,0,-0.31176396239221704,1,0.100684779496455,0.0518992862822328,-0.0765139656099587,0.0355493463104916,Northeast,3.55493463104916,5.55493463104916
220171103,22,1,NA,-8,9,2018,1,0,NA,-1,1,2016,0.1508164650000021,0,0,1,1,0,-0.11176396239221703,2,-0.100822006376818,0.0259650345622959,-0.0602724019357296,0.0544331033931943,Northeast,5.44331033931943,5.44331033931943
220171103,22,1,NA,-8,9,2020,1,-1,NA,0,-1,2018,0.024241802500000513,1,0,1,1,0,-0.11176396239221703,2,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,5.74449568082121
220171103,22,1,NA,-8,9,2022,1,-1,NA,-1,0,2020,0.14999999999999505,1,0,1,1,0,-0.11176396239221703,2,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220171431,22,0,26,0,12,2014,3,1,0,0,1,2012,0.06666666666666667,-1,1,0,1,0,-0.1044193652461955,2,NA,0.114446806514444,0.100096200511414,0.0344516259200721,Northeast,3.44516259200721,1.4451625920072102
220171431,22,0,28,-8,12,2016,NA,1,0,1,0,2014,0.17282323749999767,-1,1,0,1,0,-0.1044193652461955,2,0.100684779496455,0.0518992862822328,-0.0765139656099587,0.0355493463104916,Northeast,3.55493463104916,1.5549346310491599
220171431,22,1,NA,-8,12,2018,3,1,NA,1,0,2016,0.1508164650000021,-1,1,0,1,0,-0.1044193652461955,2,-0.100822006376818,0.0259650345622959,-0.0602724019357296,0.0544331033931943,Northeast,5.44331033931943,3.4433103393194298
220171431,22,1,NA,-8,12,2020,7,1,NA,1,0,2018,0.024241802500000513,-1,1,1,1,0,0.09558063475380452,2,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,1.7444956808212102
220171431,22,1,NA,-8,12,2022,7,0,NA,1,-1,2020,0.14999999999999505,0,1,1,1,0,0.09558063475380452,2,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220172101,22,0,48,0,15,2014,NA,-1,0,-1,0,2012,0.06666666666666667,1,1,0,1,0,0.102925231899826,2,NA,0.114446806514444,0.100096200511414,0.0344516259200721,Northeast,3.44516259200721,5.44516259200721
220174101,22,0,43,42000,16,2014,3,-1,0,-1,0,2012,0.06666666666666667,1,1,0,3,0,1.1518336471220387,3,NA,0.114446806514444,0.100096200511414,0.0344516259200721,Northeast,3.44516259200721,5.44516259200721
220174101,22,1,45,-8,16,2016,NA,-1,0,-1,0,2014,0.17282323749999767,1,1,1,1,0,0.37204009761516654,2,0.100684779496455,0.0518992862822328,-0.0765139656099587,0.0355493463104916,Northeast,3.55493463104916,5.55493463104916
220174101,22,1,NA,60000,16,2018,3,-1,NA,-1,0,2016,0.1508164650000021,1,1,0,3,0,1.1518336471220387,3,-0.100822006376818,0.0259650345622959,-0.0602724019357296,0.0544331033931943,Northeast,5.44331033931943,7.44331033931943
220174101,22,1,NA,72000,16,2022,3,-1,NA,-1,0,2018,0.14999999999999505,1,1,0,3,0,1.1518336471220387,3,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220174102,22,1,NA,37000,9,2020,3,0,NA,-1,1,2018,0.024241802500000513,0,0,0,3,0,0.6680295871146551,3,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,3.74449568082121
220174103,22,1,NA,-8,14,2020,3,0,NA,0,0,2018,0.024241802500000513,0,1,0,1,0,0.033810366184485574,2,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,3.74449568082121
220174103,22,1,NA,-8,16,2022,7,1,NA,0,1,2020,0.14999999999999505,-1,1,1,1,0,0.37204009761516654,2,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220174104,22,1,NA,NA,0,2020,NA,-1,NA,-1,0,2018,0.024241802500000513,1,0,1,NA,NA,NA,NA,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,5.74449568082121
220174104,22,1,NA,NA,0,2022,7,-1,NA,-1,0,2020,0.14999999999999505,1,0,1,NA,NA,NA,NA,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220177103,22,1,58,-8,9,2016,NA,0,0,1,-1,2014,0.17282323749999767,0,0,1,1,0,-0.11176396239221703,2,0.100684779496455,0.0518992862822328,-0.0765139656099587,0.0355493463104916,Northeast,3.55493463104916,3.55493463104916
220178101,22,1,42,0,15,2014,3,0,1,1,-1,2012,0.06666666666666667,0,1,0,1,0,0.102925231899826,2,NA,0.114446806514444,0.100096200511414,0.0344516259200721,Northeast,3.44516259200721,3.44516259200721
220178101,22,1,44,-8,15,2016,NA,1,1,0,1,2014,0.17282323749999767,-1,1,1,1,0,0.302925231899826,2,0.100684779496455,0.0518992862822328,-0.0765139656099587,0.0355493463104916,Northeast,3.55493463104916,1.5549346310491599
220178101,22,1,NA,-8,15,2020,3,1,NA,1,0,2016,0.024241802500000513,-1,1,0,1,0,0.102925231899826,2,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,1.7444956808212102
220178101,22,1,NA,-8,15,2022,3,1,NA,1,0,2020,0.14999999999999505,-1,1,0,1,0,0.102925231899826,2,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220178102,22,1,NA,31200,16,2018,3,-1,NA,-1,0,2016,0.1508164650000021,1,1,0,3,0,1.1518336471220387,3,-0.100822006376818,0.0259650345622959,-0.0602724019357296,0.0544331033931943,Northeast,5.44331033931943,7.44331033931943
220178102,22,1,NA,31200,16,2020,3,-1,NA,-1,0,2018,0.024241802500000513,1,1,0,3,0,1.1518336471220387,3,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121,Northeast,3.74449568082121,5.74449568082121
220178102,22,1,NA,36000,16,2022,3,-1,NA,-1,0,2020,0.14999999999999505,1,1,0,3,0,1.1518336471220387,3,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220178103,22,1,NA,-8,10,2022,7,0,NA,-1,1,2020,0.14999999999999505,0,0,1,1,0,-0.042649096676876525,2,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220180103,22,1,NA,NA,13,2022,NA,1,NA,-1,2,2020,0.14999999999999505,-1,1,1,NA,NA,NA,NA,-0.250166430105317,0.0466722259882623,0.0104433927254132,NA,Northeast,NA,NA
220182101,22,1,36,36000,16,2014,3,-1,0,-1,0,2012,0.06666666666666667,1,1,0,3,0,1.1518336471220387,3,NA,0.114446806514444,0.100096200511414,0.0344516259200721,Northeast,3.44516259200721,5.44516259200721
